FileName,Pattern,RGB,Shiftx,Shifty,Pnx,Pny,Ledx,Ledy
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0003_CCD3_w_5120_h_5120_2024-08-28 12-32-15 916.JPG,4,B,-12.8925316453213,13.1449066329943,1036.17497465931,288.124041950387,1023.28244301399,274.979135317395
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0003_CCD3_w_5120_h_5120_2024-08-28 12-32-15 916.JPG,4,G,-11.7280429394789,5.51651451851848,1036.83414177495,375.576898215145,1025.10609883547,370.060383696625
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0003_CCD3_w_5120_h_5120_2024-08-28 12-32-15 916.JPG,4,R,-11.2527305431372,1.95757664695094,1037.25332574241,463.33468022793,1026.00059519927,461.37710358098
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,1,B,-8.8650043857657,3.07850963928262,414.882632685973,918.05917561377,406.017628300207,914.980665974487
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,1,G,-7.85131586749395,0.147393059037768,415.455913351038,1005.49073347961,407.604597483545,1005.34334042058
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,1,R,-5.26994975365875,-1.32520257177157,415.841604577015,1093.3069872117,410.571654823355,1094.63218978347
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,2,B,-13.626093967139,3.30728699706378,1040.20488432011,913.85941612657,1026.57879035297,910.552129129508
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,2,G,-10.4960349541652,1.16062409159099,1040.75959413649,1001.27720283651,1030.26355918233,1000.11657874492
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,2,R,-11.1765142577603,0.319285511779753,1041.37184232051,1089.09812328569,1030.19532806275,1088.77883777391
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,3,B,-7.67275865614732,10.5229273664734,410.48004903458,293.16077364399,402.807290378433,282.637846277517
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,3,G,-6.84827857136668,4.11404904641045,411.192441634045,380.990450033192,404.34416306268,376.876400986783
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,3,R,-6.01604018227345,4.26486798277802,411.894607086732,468.440488024115,405.87856690446,464.175620041335
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,4,B,-11.2871185355091,12.2949601874681,1035.85646406798,289.09379797184,1024.56934553247,276.798837784372
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,4,G,-12.0135201101959,3.53498317096853,1036.45860445239,376.638123052775,1024.44508434219,373.103139881805
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0004_CCD3_w_5120_h_5120_2024-08-28 12-32-16 962.JPG,4,R,-10.938255567479,6.68800745370345,1036.95534852949,464.304695517435,1026.01709296201,457.61668806373
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,1,B,-4.2611881313029,0.167857020939436,413.536231322517,917.135856959237,409.275043191212,916.967999938297
D:\維智\cognex\Decap_2-2_Y-Shift\A123456789_V31 decap all mark_#0001_CCD3_w_5120_h_5120_2024-08-28 12-32-13 775.JPG,1,G,-6.98452302002902,0.0581862884929477,413.913418050802,1004.86760901473,406.928895030772,1004.80942272624
